question,answer,category
چگونه می توانم جزئیات حساب خود را به یک شرکت یا نهاد قانونی برای خرید محصولات منتقل کنم؟,ورود به پروفایل ویرایش اطلاعات شخصی ایجاد اطلاعات حقوقی,ورود و ثبت نام
چگونه می توانم جزئیات حساب خود را به یک شرکت یا نهاد قانونی برای خرید کالاها منتقل کنم؟,ورود به پروفایل ویرایش اطلاعات شخصی ایجاد اطلاعات حقوقی,ورود و ثبت نام
به چه روشی می توانم از حساب خود برای خرید برای یک شرکت یا نهاد حقوقی استفاده کنم؟,ورود به پروفایل ویرایش اطلاعات شخصی ایجاد اطلاعات حقوقی,ورود و ثبت نام
به چه روشی می توانم از حساب خود برای خرید برای یک شرکت یا نهاد حقوقی استفاده کنم؟,ورود به پروفایل ویرایش اطلاعات شخصی ایجاد اطلاعات حقوقی,ورود و ثبت نام
آیا می توانم از حساب خود برای خرید برای یک شرکت یا نهاد حقوقی استفاده کنم؟ اگر چنین است ، اقدامات لازم برای انجام این کار چیست؟,ورود به پروفایل ویرایش اطلاعات شخصی ایجاد اطلاعات حقوقی,ورود و ثبت نام
آیا می توانم از حساب خود برای خرید برای یک شرکت یا نهاد حقوقی استفاده کنم؟ اگر چنین است ، مراحل درگیر چیست؟,ورود به پروفایل ویرایش اطلاعات شخصی ایجاد اطلاعات حقوقی,ورود و ثبت نام
آیا راهی برای خرید فقط حساب برای نهادهای دولتی یا غیر دولتی وجود دارد؟,ورود به پروفایل ویرایش اطلاعات شخصی ایجاد اطلاعات حقوقی,ورود و ثبت نام
آیا راهی برای خرید فقط حساب برای سازمان های دولتی یا غیر دولتی وجود دارد؟,ورود به پروفایل ویرایش اطلاعات شخصی ایجاد اطلاعات حقوقی,ورود و ثبت نام
آیا راهی برای افزودن شماره کارت من به حساب شما وجود دارد؟,شما میتوانید وارد حساب کاربری خود شده و شماره کارت خود را وارد نمایید.,ورود و ثبت نام
روند دریافت شماره کارت من از حساب شما چیست؟,شما میتوانید وارد حساب کاربری خود شده و شماره کارت خود را وارد نمایید.,ورود و ثبت نام
آیا می توانید توضیح دهید که چگونه شماره کارت خود را به حساب خود اضافه کنید؟,شما میتوانید وارد حساب کاربری خود شده و شماره کارت خود را وارد نمایید.,ورود و ثبت نام
چگونه شماره کارت خود را به حساب شما اضافه کنم؟,شما میتوانید وارد حساب کاربری خود شده و شماره کارت خود را وارد نمایید.,ورود و ثبت نام
چه مراحلی را باید انجام دهم تا شماره کارت خود را در حساب شما بگنجانیم؟,شما میتوانید وارد حساب کاربری خود شده و شماره کارت خود را وارد نمایید.,ورود و ثبت نام
برای اضافه کردن شماره کارت خود به حساب شما چه مراحلی لازم است؟,شما میتوانید وارد حساب کاربری خود شده و شماره کارت خود را وارد نمایید.,ورود و ثبت نام
به چه روشی می توانم به اطلاعات کارت خود در حساب شما دسترسی پیدا کنم؟,شما میتوانید وارد حساب کاربری خود شده و شماره کارت خود را وارد نمایید.,ورود و ثبت نام
آیا می توانید به من بگویید که چگونه شماره کارت خود را به حساب خود اضافه کنم؟,شما میتوانید وارد حساب کاربری خود شده و شماره کارت خود را وارد نمایید.,ورود و ثبت نام
آیا می توانید به من بگویید که چگونه شماره کارت خود را به حساب خود اضافه کنم؟,شما میتوانید وارد حساب کاربری خود شده و شماره کارت خود را وارد نمایید.,ورود و ثبت نام
لطفاً شماره کارت خود را در اطلاعات حساب خود درج کنم ، لطفا؟,شما میتوانید وارد حساب کاربری خود شده و شماره کارت خود را وارد نمایید.,ورود و ثبت نام
آیا راهی برای به روزرسانی اطلاعات کاربر و ایمیل من وجود دارد؟,"با وارد کردن ایمیل (یا شماره ی همراه ) وارد حساب کاربری خود شوید. روی گزینه ""پروفایل "" کلیک کرده و در صفحه‏"" اطلاعات شخصی"" روی “ویرایش اطلاعات شخصی "" کلیک کنید.",ورود و ثبت نام
آیا راهی برای به روزرسانی اطلاعات حساب کاربری من و ایمیل من وجود دارد؟,"با وارد کردن ایمیل (یا شماره ی همراه ) وارد حساب کاربری خود شوید. روی گزینه ""پروفایل "" کلیک کرده و در صفحه‏"" اطلاعات شخصی"" روی “ویرایش اطلاعات شخصی "" کلیک کنید.",ورود و ثبت نام
چگونه می توانم اطلاعات کاربر و ایمیل خود را به روز کنم؟,"با وارد کردن ایمیل (یا شماره ی همراه ) وارد حساب کاربری خود شوید. روی گزینه ""پروفایل "" کلیک کرده و در صفحه‏"" اطلاعات شخصی"" روی “ویرایش اطلاعات شخصی "" کلیک کنید.",ورود و ثبت نام
چگونه می توانم آدرس کاربر و ایمیل خود را به روز کنم؟,"با وارد کردن ایمیل (یا شماره ی همراه ) وارد حساب کاربری خود شوید. روی گزینه ""پروفایل "" کلیک کرده و در صفحه‏"" اطلاعات شخصی"" روی “ویرایش اطلاعات شخصی "" کلیک کنید.",ورود و ثبت نام
برای به روزرسانی اطلاعات تماس کاربر و ایمیل خود چه مراحلی لازم است؟,"با وارد کردن ایمیل (یا شماره ی همراه ) وارد حساب کاربری خود شوید. روی گزینه ""پروفایل "" کلیک کرده و در صفحه‏"" اطلاعات شخصی"" روی “ویرایش اطلاعات شخصی "" کلیک کنید.",ورود و ثبت نام
آیا روش هایی برای ویرایش اطلاعات کاربر و ایمیل وجود دارد؟,"با وارد کردن ایمیل (یا شماره ی همراه ) وارد حساب کاربری خود شوید. روی گزینه ""پروفایل "" کلیک کرده و در صفحه‏"" اطلاعات شخصی"" روی “ویرایش اطلاعات شخصی "" کلیک کنید.",ورود و ثبت نام
من می خواهم اطلاعات کاربر و ایمیل را تغییر دهم. آیا راهی وجود دارد که بتوانم این کار را انجام دهم؟,"با وارد کردن ایمیل (یا شماره ی همراه ) وارد حساب کاربری خود شوید. روی گزینه ""پروفایل "" کلیک کرده و در صفحه‏"" اطلاعات شخصی"" روی “ویرایش اطلاعات شخصی "" کلیک کنید.",ورود و ثبت نام
من می خواهم اطلاعات کاربر و ایمیل را تغییر دهم. آیا راهی برای انجام این کار وجود دارد؟,"با وارد کردن ایمیل (یا شماره ی همراه ) وارد حساب کاربری خود شوید. روی گزینه ""پروفایل "" کلیک کرده و در صفحه‏"" اطلاعات شخصی"" روی “ویرایش اطلاعات شخصی "" کلیک کنید.",ورود و ثبت نام
آیا می توانم در آدرس های ورود و ایمیل خود تغییراتی ایجاد کنم؟,"با وارد کردن ایمیل (یا شماره ی همراه ) وارد حساب کاربری خود شوید. روی گزینه ""پروفایل "" کلیک کرده و در صفحه‏"" اطلاعات شخصی"" روی “ویرایش اطلاعات شخصی "" کلیک کنید.",ورود و ثبت نام
آیا می توانم در آدرس های ورود و ایمیل خود تغییراتی ایجاد کنم و چگونه؟,"با وارد کردن ایمیل (یا شماره ی همراه ) وارد حساب کاربری خود شوید. روی گزینه ""پروفایل "" کلیک کرده و در صفحه‏"" اطلاعات شخصی"" روی “ویرایش اطلاعات شخصی "" کلیک کنید.",ورود و ثبت نام
آیا می توانید من را راهنمایی کنید که چگونه می توانم دسترسی به رمز عبور خود را از طریق وب بازیابی کنم؟,لطفا به قسمت توضیحات تکمیلی وارد شوید.,ورود و ثبت نام
فرآیند بازیابی رمز عبور من با استفاده از نسخه وب چیست؟,لطفا به قسمت توضیحات تکمیلی وارد شوید.,ورود و ثبت نام
آیا می توانید با استفاده از وب ، من را در مورد نحوه دسترسی دوباره به حساب من راهنمایی کنید؟,لطفا به قسمت توضیحات تکمیلی وارد شوید.,ورود و ثبت نام
اگر رمز ورود خود را فراموش کرده ام ، روند بازیابی آن در وب چیست؟,لطفا به قسمت توضیحات تکمیلی وارد شوید.,ورود و ثبت نام
اگر رمز ورود خود را فراموش کرده ام ، روند بازیابی آن در وب چیست؟,لطفا به قسمت توضیحات تکمیلی وارد شوید.,ورود و ثبت نام
فرآیند بازیابی رمز عبور من با استفاده از نسخه آنلاین چیست؟,لطفا به قسمت توضیحات تکمیلی وارد شوید.,ورود و ثبت نام
برای بازیابی رمز عبور خود در نسخه وب که نمی توانم به خاطر بسپارم ، چه مراحلی باید انجام دهم؟,لطفا به قسمت توضیحات تکمیلی وارد شوید.,ورود و ثبت نام
برای بازیابی رمز عبور خود در نسخه وب که دیگر نمی توانم به آن دسترسی پیدا کنم ، چه مراحلی باید انجام دهم؟,لطفا به قسمت توضیحات تکمیلی وارد شوید.,ورود و ثبت نام
رمز ورود من فراموش شده است ، روند بازیابی آن با استفاده از پلت فرم آنلاین چیست؟,لطفا به قسمت توضیحات تکمیلی وارد شوید.,ورود و ثبت نام
رمز ورود من فراموش شده است ، روند بازیابی آن با استفاده از روش آنلاین چیست؟,لطفا به قسمت توضیحات تکمیلی وارد شوید.,ورود و ثبت نام
آیا می توان بازدید من را از طریق شماره تلفن ردیابی کرد؟, خیر، امکان ثبت سفارش بصورت تلفنی امکان پذیر نیس.,روند ثبت سفارش
چگونه می توانم از طریق تلفن به ثبت نام مراجعه کنم؟, خیر، امکان ثبت سفارش بصورت تلفنی امکان پذیر نیس.,روند ثبت سفارش
آیا راهی برای ثبت بازدید من از طریق تلفن همراه وجود دارد؟, خیر، امکان ثبت سفارش بصورت تلفنی امکان پذیر نیس.,روند ثبت سفارش
چگونه می توانم بازدید خود را از طریق تلفن ثبت کنم؟, خیر، امکان ثبت سفارش بصورت تلفنی امکان پذیر نیس.,روند ثبت سفارش
آیا اجازه دارم بازدید خود را از طریق تلفن ثبت کنم؟, خیر، امکان ثبت سفارش بصورت تلفنی امکان پذیر نیس.,روند ثبت سفارش
آیا اجازه دارم بازدید خود را از طریق شماره تلفن ثبت کنم؟, خیر، امکان ثبت سفارش بصورت تلفنی امکان پذیر نیس.,روند ثبت سفارش
آیا می توان بازدید من را از طریق شماره تلفن همراه ثبت کرد؟, خیر، امکان ثبت سفارش بصورت تلفنی امکان پذیر نیس.,روند ثبت سفارش
روند تأیید شماره تلفن برای ثبت نام ویزیت من چیست؟, خیر، امکان ثبت سفارش بصورت تلفنی امکان پذیر نیس.,روند ثبت سفارش
آیا می توان بازدید من را با استفاده از تلفن همراه من در اینترنت مشخص کرد؟, خیر، امکان ثبت سفارش بصورت تلفنی امکان پذیر نیس.,روند ثبت سفارش
فرآیند تأیید شماره تلفن برای ثبت بازدیدهای من چیست؟, خیر، امکان ثبت سفارش بصورت تلفنی امکان پذیر نیس.,روند ثبت سفارش
فرآیند ثبت نام آدرس خود در حساب کاربری شما چیست؟,پس از تکمیل اطلاعات کاربری خود به قسمت نشانی ها مراجعه نمایید.,روند ثبت سفارش
آیا راهی برای اضافه کردن آدرس خود به حساب خود وجود دارد؟ اگر چنین است ، چگونه؟,پس از تکمیل اطلاعات کاربری خود به قسمت نشانی ها مراجعه نمایید.,روند ثبت سفارش
فرایند اضافه کردن آدرس خود به حساب خود چیست؟,پس از تکمیل اطلاعات کاربری خود به قسمت نشانی ها مراجعه نمایید.,روند ثبت سفارش
آیا راهی برای اضافه کردن آدرس خود به حساب خود وجود دارد؟ اگر بله ، چگونه؟,پس از تکمیل اطلاعات کاربری خود به قسمت نشانی ها مراجعه نمایید.,روند ثبت سفارش
برای درج آدرس خود در ثبت حساب خود چه اقداماتی لازم دارید؟,پس از تکمیل اطلاعات کاربری خود به قسمت نشانی ها مراجعه نمایید.,روند ثبت سفارش
کجا باید آدرس شما را در ثبت حساب خود قرار دهم؟,پس از تکمیل اطلاعات کاربری خود به قسمت نشانی ها مراجعه نمایید.,روند ثبت سفارش
برای گنجاندن آدرس خود در جزئیات ثبت نام حساب ، چه اقداماتی لازم دارید؟,پس از تکمیل اطلاعات کاربری خود به قسمت نشانی ها مراجعه نمایید.,روند ثبت سفارش
کجا باید آدرس شما را در حساب خود قرار دهم؟,پس از تکمیل اطلاعات کاربری خود به قسمت نشانی ها مراجعه نمایید.,روند ثبت سفارش
به چه روشی می توانید اطلاعات آدرس خود را در ثبت حساب خود درج کنید؟,پس از تکمیل اطلاعات کاربری خود به قسمت نشانی ها مراجعه نمایید.,روند ثبت سفارش
به چه روشی می توانید اطلاعات آدرس خود را در ثبت حساب خود درج کنید؟,پس از تکمیل اطلاعات کاربری خود به قسمت نشانی ها مراجعه نمایید.,روند ثبت سفارش
میزان حمل و نقل برای سفارشات حجیم و سنگین چقدر است؟,لوازم خانگی سنگین و کالاهای حجیم یا بزرگ، به صورت پس‌کرایه (پرداخت هزینه باربری هنگام تحویل کالا) ارسال خواهد شد,روند ثبت سفارش
میزان حمل و نقل برای تحویل سفارشات فله و سنگین چقدر است؟,لوازم خانگی سنگین و کالاهای حجیم یا بزرگ، به صورت پس‌کرایه (پرداخت هزینه باربری هنگام تحویل کالا) ارسال خواهد شد,روند ثبت سفارش
آیا می توانید اطلاعاتی در مورد نرخ حمل و نقل برای سفارشات فله و سنگین ارائه دهید؟,لوازم خانگی سنگین و کالاهای حجیم یا بزرگ، به صورت پس‌کرایه (پرداخت هزینه باربری هنگام تحویل کالا) ارسال خواهد شد,روند ثبت سفارش
آیا می توانید اطلاعاتی در مورد نرخ حمل و نقل برای سفارشات بزرگ و سنگین ارائه دهید؟,لوازم خانگی سنگین و کالاهای حجیم یا بزرگ، به صورت پس‌کرایه (پرداخت هزینه باربری هنگام تحویل کالا) ارسال خواهد شد,روند ثبت سفارش
حمل و نقل سفارشات حجیم و سنگین با حمل و نقل چیست؟,لوازم خانگی سنگین و کالاهای حجیم یا بزرگ، به صورت پس‌کرایه (پرداخت هزینه باربری هنگام تحویل کالا) ارسال خواهد شد,روند ثبت سفارش
حمل و نقل حمل و نقل برای سفارشات حجیم و سنگین - چه نوع حمل و نقل درگیر است؟,لوازم خانگی سنگین و کالاهای حجیم یا بزرگ، به صورت پس‌کرایه (پرداخت هزینه باربری هنگام تحویل کالا) ارسال خواهد شد,روند ثبت سفارش
حمل و نقل حمل و نقل برای سفارشات حجیم و سنگین - از چه نوع حمل و نقل استفاده می شود؟,لوازم خانگی سنگین و کالاهای حجیم یا بزرگ، به صورت پس‌کرایه (پرداخت هزینه باربری هنگام تحویل کالا) ارسال خواهد شد,روند ثبت سفارش
حمل و نقل سفارشات حجیم و سنگین توسط حمل و نقل؟,لوازم خانگی سنگین و کالاهای حجیم یا بزرگ، به صورت پس‌کرایه (پرداخت هزینه باربری هنگام تحویل کالا) ارسال خواهد شد,روند ثبت سفارش
کالاهای سنگین و حجیم به چه روشی از طریق تحویل حمل و نقل منتقل می شوند؟,لوازم خانگی سنگین و کالاهای حجیم یا بزرگ، به صورت پس‌کرایه (پرداخت هزینه باربری هنگام تحویل کالا) ارسال خواهد شد,روند ثبت سفارش
کالاهای سنگین و حجیم به چه روشی از طریق حمل و نقل حمل و نقل منتقل می شوند؟,لوازم خانگی سنگین و کالاهای حجیم یا بزرگ، به صورت پس‌کرایه (پرداخت هزینه باربری هنگام تحویل کالا) ارسال خواهد شد,روند ثبت سفارش
فرآیند به دست آوردن کارت هدیه فاکتور چیست؟,امکان صدور فاکتور برای کارت هدیه میسر نیست.,روند ثبت سفارش
آیا راهی برای به دست آوردن کارت هدیه فاکتور وجود دارد و اگر چنین است ، چگونه؟,امکان صدور فاکتور برای کارت هدیه میسر نیست.,روند ثبت سفارش
چگونه می توانم کارت هدیه فاکتور دریافت کنم؟,امکان صدور فاکتور برای کارت هدیه میسر نیست.,روند ثبت سفارش
آیا می توانید نحوه دستیابی به کارت هدیه فاکتور را توضیح دهید؟,امکان صدور فاکتور برای کارت هدیه میسر نیست.,روند ثبت سفارش
از کجا می توانم کارت هدیه فاکتور پیدا کنم؟,امکان صدور فاکتور برای کارت هدیه میسر نیست.,روند ثبت سفارش
از کجا می توانم کارت هدیه فاکتور پیدا کنم و چگونه می توانم برای آن اقدام کنم؟,امکان صدور فاکتور برای کارت هدیه میسر نیست.,روند ثبت سفارش
به چه روشی می توانم رسید کارت هدیه فاکتور را دریافت کنم؟,امکان صدور فاکتور برای کارت هدیه میسر نیست.,روند ثبت سفارش
از چه طریقی می توانم برای کارت هدیه فاکتور اعتبار کسب کنم؟,امکان صدور فاکتور برای کارت هدیه میسر نیست.,روند ثبت سفارش
آیا می توانید به من بگویید که چگونه کارت هدیه فاکتور را بدست آورید؟,امکان صدور فاکتور برای کارت هدیه میسر نیست.,روند ثبت سفارش
آیا می توانید به من بگویید که چگونه کارت هدیه فاکتور را بدست آورم؟,امکان صدور فاکتور برای کارت هدیه میسر نیست.,روند ثبت سفارش
آیا پلاک روی نام موتور سیکلت وجود دارد که با آن حمل می شود؟ گیرنده پلاک کیست؟,موتورسیکلت پلاک شده هست . پلاک مستیقم به نام مشتری میشود . از لحظه تحویل موتورسیکلت موتور قابل استفاده می باشد.,روند ثبت سفارش
آیا پلاک روی نام موتور سیکلت وجود دارد که با آن حمل می شود؟ دریافت کننده این پلاک کیست؟,موتورسیکلت پلاک شده هست . پلاک مستیقم به نام مشتری میشود . از لحظه تحویل موتورسیکلت موتور قابل استفاده می باشد.,روند ثبت سفارش
آیا تا به حال پلاک برای موتور سیکلت خود دریافت کرده اید؟ اگر نه ، اسپانسر پلاک به نام چه کسی بود؟,موتورسیکلت پلاک شده هست . پلاک مستیقم به نام مشتری میشود . از لحظه تحویل موتورسیکلت موتور قابل استفاده می باشد.,روند ثبت سفارش
آیا پلاک هایی وجود دارد که موتور سیکلت ها در نام خود دریافت می کنند؟ اگر چنین است ، آنها کی هستند؟,موتورسیکلت پلاک شده هست . پلاک مستیقم به نام مشتری میشود . از لحظه تحویل موتورسیکلت موتور قابل استفاده می باشد.,روند ثبت سفارش
آیا پلاک هایی وجود دارد که موتور سیکلت ها در نام خود دریافت می کنند؟ اگر چنین است ، به آنها خطاب شده است؟,موتورسیکلت پلاک شده هست . پلاک مستیقم به نام مشتری میشود . از لحظه تحویل موتورسیکلت موتور قابل استفاده می باشد.,روند ثبت سفارش
آیا تا به حال پلاک برای موتور سیکلت خود دریافت کرده اید؟ اگر نه ، طراح پلاک چه کسی بود؟,موتورسیکلت پلاک شده هست . پلاک مستیقم به نام مشتری میشود . از لحظه تحویل موتورسیکلت موتور قابل استفاده می باشد.,روند ثبت سفارش
یک پلاک به هر موتور سیکلت وصل شده است. این پلاک خطاب به چه کسی است؟,موتورسیکلت پلاک شده هست . پلاک مستیقم به نام مشتری میشود . از لحظه تحویل موتورسیکلت موتور قابل استفاده می باشد.,روند ثبت سفارش
یک پلاک به هر موتور سیکلت وصل شده است. شخص روی آن کیست؟,موتورسیکلت پلاک شده هست . پلاک مستیقم به نام مشتری میشود . از لحظه تحویل موتورسیکلت موتور قابل استفاده می باشد.,روند ثبت سفارش
آیا موتور سیکلت با پلاک همراه است؟ چه کسی آن را حکاکی کرد؟,موتورسیکلت پلاک شده هست . پلاک مستیقم به نام مشتری میشود . از لحظه تحویل موتورسیکلت موتور قابل استفاده می باشد.,روند ثبت سفارش
