,question,answer,category
56,چطور میتوانم سفارش کالای سوپر مارکتی خود را پس از تحویل مرجوع کنم ؟,مرجوع نمودن سلیقه ای اقلام سوپرمارکتی بعد از تحویل سفارش بدلیل آسیب پذیر بودن ، امکان فساد کالا ، سپری شدن تاریخ انقضاء و مسائل بهداشتی امکان‌پذیر نمی باشد.,سوپرمارکت
57,آیا کالاهای سوپر مارکتی در سرتاسر ایران ارسال میشود؟,تمام کالاهای سوپر مارکتی ارسال خواهد شد بجز کالاهایی فاسد شدنی که نیاز به سیستم سرمایش جهت حمل دارند مانند; لبنیات مواد غذایی پروتئینی(گوشت و مرغ) میوه و سبزیجات,سوپرمارکت
58,چگونه میتوانم کالایی که از مرکز فروشندگان خریداری نمودم را مرجوع کنم ؟,شما میتوانید از راههای زیر درخواست مرجوعی خود را اعلام نمایید.,تعهد به شفافیت
59,در صورتی که امکان تامین کالای خریداری شده از مرکز فروشندگان مقدور نباشد چه اتفاقی برای آن سفارش خواهد افتاد؟,در صورتیکه فروشنده قادر به تامین سفارش خود نباشد، آن سفارش لغو شده و این مورد در عملکرد فروشندگان لحاظ خواهد شد، همچنین عدم تامین کالا از طریق پیامک به شما اطلاع رسانی می شود.,تعهد به شفافیت
60,آیا شخصیت های حقیقی هم میتوانند درسایت دیجی کالا فروشنده باشند ؟,بله.کلیه افراد حقیقی که مجوزهای قانونی لازم برای تولید، واردات یا فروش کالاهای مجاز در کشور را دارند می توانند با ارائه ی کد ملی و رعایت ضوابط دیجی‌کالا به صورت فروشنده در دیجی‌کالا فعالیت کنند.,تعهد به شفافیت
61,چگونه میتوانم از کیفیت خدمات و کالاهای فروشندگان در یک کالای یکسان اطلاع پیدا کنم؟,یکی از راههای سنجش کیفیت کالا و خدمات فروشندگان توجه به نوع فروشنده (برگزیده -رسمی) ، نظر و درصد رضایتمندی مشتریان از خرید کالاها میباشد.,تعهد به شفافیت
62,چطور یک شخصیت حقیقی یا حقوقی میتواند در دیجی کالا ، کالای خود را بفروش رساند؟,"""شما میتوانید با ثبت نام در سایت دیجی کالا فروشنده کالای خود باشید. برای این منظور در صورتی که شما فروشنده حقیقی هستید، ثبت کد ملی و در صورتی که فروشنده حقوقی هستید ثبت کد اقتصادی الزامی میباشد.""",تعهد به شفافیت
63,برای فروشنده شدن در دیجی کالا باید چه مراحلی را طی کنم ؟,پس از طی مراحل ثبت نام در سایت و ارسال مدارک ، مدارک شما بررسی و با شما تماس گرفته میشود. طی یک مذاکره بین شما و دیجی کالا یک قرار داد تنظیم خواهد شد.,تعهد به شفافیت
64,ضوابط و قوانین همکاری با دیجی کالا برای فروش چیست؟,مشتری مداری در راس ارزش‌های سازمانی‏ دیجی‌کالا قرار دارد و از آنجا که خریداران نه تنها مشتری دیجی‌کالا بلکه مشتری تمام فروشندگان هستند، جلب رضایت آنها باید اولین و بالاترین اولویت همه‌ی ما باشد.,تعهد به شفافیت
65,چه ضوابطی برای قیمت گذاری کالاهایی که توسط مرکز فروشندگان در سایت شما بفروش میرسد در نظر گرفته شده است ؟,امکان فروش کالاها با قیمتی بالاتر از قیمت مصوب و یا قیمت درج شده (برای کالاهای دارای قیمت مصوب)، برای فروشندگان وجود ندارد,تعهد به شفافیت
66,آیا در صورتی که قیمت کالای مرکز فروشندگان بالاتر از قیمت فروشگاه دیگر باشد امکان بررسی وجود دارد ؟,خیر - امکان بررسی قیمت برای کالاها مرکز فروشندگان وجود ندارد.,تعهد به شفافیت
67,آیا کالاهای مربوط به سایر فروشندگان بصورت شگفت انگیز و فروش ویژه هم بفروش میرسند؟,بله . کالاهای سایر فروشندگان نیز مانند کالاهای دیجی کالا بصورت فروش ویژه و شگفت انگیز بفروش میرسند.,تعهد به شفافیت
68,کالاهایی که از مرکز فروشندگان بفروش میرسد به چه روشی ارسال میشود؟,نحوه ی ارسال سفارشات با توجه به ماهیت کالا و آدرس محل تحویل در حین ثبت سفارش مشخص می شود.,تعهد به شفافیت
69,پرداخت کردم اما پس از استعلام مجدد همچنان به من بدهی نشان داده می شود. مشکل چیست؟,در هر استعلام، بدهی پرداخت شده حذف میشود. در صورتی که بدهی پرداخت شده همچنان در استعلام نشان داده میشود، با پشتیبانی تماس گرفته شود.,دیجی‌پی
70,آیا پرداخت با دیجی پی امن است؟,بله. دیجی پی توسط نهادهای نظارت بر پرداخت همچون شاپرک مانیتور و کنترل می شود.,دیجی‌پی
71,چگونه برای کیف پول خود رمز عبور تعیین کنم؟,برای تعیین رمز عبور برای کیف پول خود کافیست اپلیکیشن دیجی پی را نصب کنید و از منوی تنظیمات اپلیکیشن برای کیف پول خود رمز عبور تعیین کنید. ,دیجی‌پی
72,کدام مدل از گوشی های آیفون دیجی پی را پشتیبانی می کنند؟,اپلیکیشن دیجی پی بر روی تمامی گوشی های آیفون نصب می شه و می توانید از امکانات آن استفاده کنید.,دیجی‌پی
73,پس از تایید مدارک خرید اقساط ( اعتباری ) دیجی پی، به چه شکل چک را تحویل دهم؟,پس از آپلود تمامی مدارک اعلام شده و تایید از سمت واحد عملیات دیجی پی،هماهنگی های لازم برای تحویل چک از کاربر انجام میشود.,دیجی‌پی
74,پرداخت درون برنامه ای دیجی‌پی چیست؟,با انتخاب درگاه پرداخت دیجی پی در زمان خرید از وب سایت دیجی کالا همیشه خریدی موفق خواهید داشت. درگاه پرداخت دیجی پی بصورت هوشمندانه و در لحظه درگاه پرداختی ایمن و فعال را برای شما انتخاب می کند و به شما این اطمینان را می دهد که پرداختی موفق خواهید داشت.,دیجی‌پی
75,آیا با “دیجی پی” امکان خرید همزمان اعتباری و نقدی وجود دارد؟,بله، به هنگام انتخاب درگاه پرداخت اعتباری مبلغ مابه التفاوت را به همراه پیش پرداخت به صورت آنلاین میتوانید پرداخت کنید.,دیجی‌پی
76,چگونه پول موجود در کیف پول خود را به کارت بانکی برگردانم؟,در مواقعی که کالایی رو مرجوع می کنید یا سفارشی را لغو می کنید، آن مبالغ مستقیم و با سرعت بیشتری نسبت به تراکنش‌های بانکی به کیف پول شما برمیگردد تا دسترسی راحت‌تری برای خریدهای دوباره داشته باشید.,دیجی‌پی
77,"تراکنش پرداخت بدهی من در ""دیجی پی"" ناموفق بوده ولی از حساب من پول کسر شده",معمولا در اینگونه موارد طی ۷۲ ساعت پول برداشت شده به حساب شما برگشت خواهد خورد. درصورتیکه مبلغ به حسابتان برگشت نخورد، اطلاعات تراکنش را در اختیار پشتیبانی قرار دهید تا پیگیری کنیم.,دیجی‌پی
78,کدام مدل از گوشی های اندرویدی اپلیکیشن دیجی پی را پشتیبانی می کنند؟,اپلیکیشن دیجی پی بر روی تمامی گوشی های اندرویدی با نسخه اندروید بالاتر از ۴ قابل نصب و استفاده می باشد. برای دیدن نسخه اندروید گوشی خود به تنظیمات گوشی خود مراجعه کنید.,دیجی‌پی
79,چطور میتوانم در دیجی کالا دیدگاه جدید ، عکس و فیلم برای کالای خریداری شده ثبت کنم؟,"با ورود به صفحه ""سفارش های من و  انتخاب گزینه ی  ""جزییات"" سفارش مورد نظر را انتخاب کنید و سپس با زدن گزینه ی""ثبت نظر"" نظر خود را ثبت کنید. توجه کنید فقط در صورت ثبت نظر برای کالای خریداری شده و در صورت تایید آن به شما امتیاز تعلق میگیرد",دیجی‌کلاب
80,جهت عضویت در دیجی‌کلاب، چه اقدامی باید بکنم؟,برای عضویت در دیجی‌کلاب هیچ اقدامی نیاز نیست و به محض ساخت حساب کاربری در دیجی‌کالا، شما عضو باشگاه مشتریان دیجی‌کالا (دیجی‌کلاب) نیز خواهید شد.,دیجی‌کلاب
81,چطور میتوانم امتیاز خود را خرج کنم؟,پس از ورود به صفحه‌ دیجی‌کلاب، به قسمت جوایز بروید تا پیشنهاد‌های متنوع دیجی‌کلاب را ببینید.در این قسمت می‌توانید امتیاز خود را برای استفاده از پیشنهادهای مختلف خرج کنید. ,دیجی‌کلاب
82,شرایط کسب امتیاز از طریق ثبت نظر چیست؟,شما می توانید پس از دریافت سفارش، نظر خود را در رابطه با محصول خریداری شده در دیجی کالا بنویسید. پس از تایید نظر شما توسط کارشناسان دیجی کالا، امتیاز برای شما ثبت می‌شود.تا قبل از تایید نظر امتیاز شما در قسمت تاریخچه بخش امتیازات در صف نمایش داده میشود.,دیجی‌کلاب
83,نحوه‌ی کسب امتیاز در حساب کاربری سازمانی (اطلاعات حقوقی)، چگونه است؟,دیجی‌کلاب در حال حاضر تنها متعلق به اشخاص حقیقی است و حساب‌های کاربری حقوقی امکان استفاده از دیجی‌کلاب ندارند.,دیجی‌کلاب
84,تاریخ اعتبار امتیازهای کسب شده تا چه زمانی است؟,کلیه امتیازهای کسب شده در هر سال تا پایان سال بعد معتبر هستند. بطور مثال امتیازهایی که در سال 1398 کسب می‌کنید، تا پایان سال 1399 معتبر هستند و پس از آن منقضی می‌شوند.,دیجی‌کلاب
85,آیا می‌توانم امتیازها را به پول تبدیل کنم؟,امتیازهای شما صرفا جهت استفاده از پیشنهادات دیجی‌کلاب هستند و امکان نقد شدن ندارند.,دیجی‌کلاب
86,از دیجی‌کلاب کد تخفیف دیجی کالا گرفته‌ام و آن را به دوستم هدیه داده‌ام، ولی او امکان استفاده ندارد، علت چیست؟, کد تخفیف دیجی‌کالا که از دیجی‌کلاب دریافت کرده‌اید به جهت امنیت بیشتر فقط در حساب کاربری دیجی‌کلاب خود شما قابل استفاده است.,دیجی‌کلاب
87,یکی از جوایز دیجی‌کلاب را انتخاب کردم، ولی حالا نظرم عوض شده است، چگونه می‌توانم جایزه را پس بدهم و امتیازم را برگردانم؟,امتیاز خرج شده و جایزه‌ی دریافت شده از دیجی‌کلاب قابل بازگشت نیست. ولی اگر از بین کالاهای پیشنهادی در دیجی‌کلاب خرید کنید، در صورت معیوب بودن کالا می‌توانید آن را با یک کالای سالم تعویض کنید.,دیجی‌کلاب
88,آیا برای خریدهای سال‌های گذشته هم امتیاز دریافت می‌کنم؟,"شما به محض ساخت حساب کاربری در دیجی‌کالا، عضو باشگاه مشتریان دیجی‌کالا (دیجی‌کلاب) نیز خواهید شد و پس از آن بعد از انجام هر ماموریت دیجی‌کلابی قابلیت دریافت امتیاز را خواهید داشت. توجه کنید چنانچه ماموریتی در دیجی‌‎کلاب موفقیت‌آمیز انجام شود، دریافت امتیاز آن مستلزم انتخاب دکمه‌ی ""دریافت امتیاز"" می‌باشد. ",دیجی‌کلاب
89,در صورت ادغام حساب‌های کاربری، اشتراک دیجی‌پلاس من حذف می‌شود؟,فقط اشتراک‌های خریداری‌ شده و پرداخت‌ شده، قابل‌ انتقال هستند. اگر اشتراک شما هدیه دیجی‌‌کالاست یا با کد تخفیف ۱۰۰ درصدی تهیه شده، قابل انتقال به حساب جدید نیست و در صورت ادغام حساب‌ها، اشتراک حذف می‌شود,دیجی‌پلاس
90,مهلت ۳۰ روزه رویه بازگشت کالا از چه زمانی شروع می‌شود؟,شما با عضویت در دیجی‌پلاس می‌توانید، از زمان دریافت سفارش تا ۳۰ روز، برای بازگرداندن سفارش‌تان اقدام کنید.,دیجی‌پلاس
91,هزینه و تمدید عضویت در دیجی پلاس به چه صورت است؟,"هزینه عضویت دیجی‌پلاس را می‌توانید در قسمت ""مشاهده اشتراک های دیجی پلاس""  مشاهده کنید. برای عضویت در دیجی‌پلاس، برنامه‌های متفاوتی وجود دارد. هزینه عضویت دیجی‌پلاس قابل استرداد نیست. امکان انصراف از دیجی‌پلاس -پیش از پایان مدت اشتراک- وجود ندارد.",دیجی‌پلاس
92,تمدید خودکار چیست؟,«تمدید خودکار» امکان جدید دیجی‌پلاس است که اشتراک شما را هرماه به صورت خودکار تمدید می‌کند.,دیجی‌پلاس
93,دیجی‌پلاس چیست؟,دیجی‌پلاس یک سرویس اشتراک ماهیانه است که شما با پرداخت حق عضویت آن، به مجموعه‌ای از خدمات منحصربه‌ فرد دسترسی پیدا می‌کنید: ارسال رایگان برای میلیون‌ها کالا، پرداخت هدیه نقدی پس از مهلت بازگشت کالا، بازگشت کالا با مهلت 30 روزه، دسترسی و امکان خرید پیشنهادات شگفت انگیز یک ساعت زودتر از سایر کاربران,دیجی‌پلاس
94,هدیه نقدی چه موقع به حساب من واریز می‌شود ؟,شما به عنوان عضو دیجی‌پلاس، بخشی از مبلغ کالاهایی که خریده‌اید تحت عنوان «هدیه نقدی» به کیف پول‌تان باز می‌گردد.,دیجی‌پلاس
95,هدیه نقدی به خرید چه کالاهایی مربوط می‌شود ؟,"هدیه نقدی به کالاهایی تعلق می‌گیرد که در وب‌سایت دارای نشان دیجی‌پلاس هستند. برای دسترسی به این کالاها، می‌توانید علاوه بر ملاحظه نشان این کالاها از امکان فیلترکردن ""فقط کالا‌های دیجی‌پلاس"" در وب‌سایت نیز استفاده کنید.",دیجی‌پلاس
96,درصورت فعال‌نشدن کیف پول، می‌بایست چه کار کنم؟,اگر برای فعال‌سازی کیف پول به مشکل برخوردید، با شماره پشتیبانی  61930000-021 تماس بگیرید تا در سریع‌ترین زمان ممکن آن را برطرف کنیم.,دیجی‌پلاس
